WBSID,Nhóm,Thể Loại,Chiểu Sâu,Phiên Bản,Outline,Sort Helper,Title (WBS),STT,Level 1,Level 2,Level 3,"STT
Hoa Nghiêm","STT
Thủ Nhãn","STT
Tứ Liên Hoa","STT
Ngũ Tự","STT
Lục Tý","STT
10 Pháp Bảo","STT
Bảo Loa","STT
6-2-6-2","STT
Advanced","STT
GALAMI1","STT
GALAMI2","STT-GALAMI
","STT
LHBDT",A.3/3/3,A.4/3/3,A.5/3/3,A.5/5/5,A.Thường Trụ Bất Biến,A.Lục Tý,A.Ending,A.LHBDT,A.6/2/6/2,Nhó,C1 Tên CTT,C5 Thủ Nhãn-Tên,C2 Tên Dài CTT,C3 Giảng Giải CTT,C4 Siddham Code,C4 Siddham Unicode,C4 CTT-Image,C5 Dharma Object Name,C6 Pháp Bảo-Image,A1 Sự,A2 Lý,A3 Khai Dẫn,A4 Hành,A4 Hành A,A4 Hành B,A5 Trung Dẫn,A6 Chú Khởi Động,A8 Lời Khẳng Định,A9 Kết Dẫn,B1 Ritual,B2 Meaning,B3 Opening Instruction,B4 Action A,B4 Action B,B6 Activator,B7 Closing Íntruction,B8 Confirmation Statement,C4 CTT Link,C4 CTT-URL,C6 Pháp Bảo Link,C6 Pháp Bảo-URL,D1 Audio Link,D2 Video Bài Giảng,D3 Bài Giảng
0,0,0,0,0,1,00.00.00.00, 0 - Thiền - An Nhiên Tự Tại,A034,A,A,1,,,,,,,,,,,,,,,,,,,,,,,Thiền,,,,,,,,,,Thiền - An Nhiên Tự Tại,,"Tìm chỗ vắng lặng để ngồi. Thả lỏng, thư giãn toàn thân, chuyên chú vào từng nơi để cảm nhận sự thư giãn, theo thứ tự như sau:

1. Thư giãn từ đỉnh đầu xuống trán.
2. Thả lỏng da thịt trên mặt, trên má. Từ từ thả lỏng cả khuôn mặt, buông lỏng hàm dưới. Cảm nhận đầu, mặt đều an định.
3. Thả lỏng đôi mắt; để tròng mắt hoàn toàn an nghỉ, bất động. 
4. Chú ý tới chót lưỡi, từ đó thả lỏng từ chót lưỡi tới cuống lưỡi. Để lưỡi hạ xuống, thư giãn, bất động. 
5. Thư giãn bắp thịt trên cổ. Theo đó, thư giãn xuống hai vai, cảm nhận hai vai buông thả. 
6. Thư giãn bắp thịt trên 2 cánh tay, xuống tới bàn tay, ngón tay. Cảm nhận sự thư giãn. Để ngón tay nằm yên bất động. 
7. Chuyển sự chú ý tới bắp thịt sau lưng, từ từ thả lỏng từ trên xuống tới thắt lưng. 
8. Buông thả hết mọi căng thăng trên bắp đùi, bắp chuối. 
9. Rà toàn thân, từ trên đầu xuống tới ngón chân, để cảm nhận toàn thân hoàn toàn thư giãn, bất động. 
10. Thở thật nhẹ nhàng, càng chậm càng tốt.

Ngồi yên thư giãn, bất động như thế cho được 15 phút tới 20 phút.",,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,1,01.00.00.00,    1 - TÁN PHẬT,A000,A,A,1,,,,,,,,1,,,,,,,,,,,,,,,Nhóm,,,,,,,,,,TÁN PHẬT,,,,,,,,,,,,,,,,,,,,,,,,
1.1,1,1,0,0,2,01.01.00.00,        1.1 - Xưng Tán Danh Hiệu Quán Thế Âm,A010,A,A,1,,,,,,A01,A01,2,A01,A01,A01,A01,,,,,,,,,,,KL,,,,,,,,,,Xưng Tán Danh Hiệu Quán Thế Âm,,"Chuông (3X)
Chấp Tay Lại, Lạy Xuống.",,"Nam Mô Thiên Thủ Thiên Nhãn, Đại Từ Đại Bi, Cứu Khổ Cứu Nạn, Quảng Đại Linh Cảm Quán Thế Âm Bồ Tát, Ma Ha Tát (3x)","Namo Kwan Shr Yin Bodhisattva, the Great Being of Kindness and Compassion, Healing and Forgiving(3x)",,,,,Homage to Kuan Shr Yin Bodhisattva,,"BELL (3X)
PALM TOGETHER, BOW DOWN",,,,,,,,,,,,
1.2,1,2,0,0,2,01.02.00.00,        1.2 - Xưng Tán Danh Hiệu Đức Phổ Hiền,A011,A,A,1,,,,,,A02,A02,3,A02,A02,A02,A02,,,,,,,,,,,KL,,,,,,,,,,Xưng Tán Danh Hiệu Đức Phổ Hiền,,Chuông,Nam Mô Pháp Giới Hạnh Hải Phổ Hiền Bồ Tát Ma Ha Tát (3x),,,,,,,,,,,,,,,,,,,,,
1.3,1,3,0,0,2,01.03.00.00,        1.3 - TAM QUY Y,A012,A,A,1,,,,,,A03,A03,4,A03,A03,A03,A03,,,,,,,,,,,KL,,,,,,,,,,TAM QUY Y,,,"*Quy Y Phật: <br>
Quy Mạng Thập Phương, Cực Tam Tế, <br>
Trần Sát Viên Minh, Điều Ngự Sư, <br>
Pháp Giới Công Đức, Đại Bi Vân, <br>
Tỳ Lô Giá Na Đại Trí Hải, <br>
 <br>
*Quy Y Pháp: <br>
Sở Trụ Thậm Thâm, Chân Pháp Tánh, <br>
Sở Lưu Viên Mãn, Tu Đa La, <br>
 <br>
*Quy Y Tăng: <br>
Nhất Nhất Trần Phương, Phật Hội Trung, <br>
Phổ Hiền, Văn Thù, Chư Đại Sĩ.",,,,,,,,,,,,,,,,,,,,,
1.4,1,4,0,0,2,01.04.00.00,        1.4 - Phổ Hiền Tam Muội,A013,A,A,1,,,,,,A04,A04,5,A04,A04,A04,A04,,,,,,,,,,,KL,,,,,,,,,,Phổ Hiền Tam Muội,,,"Ngã nguyện năng nhập:<br>
Nhất thiết chư Phật Tỳ Lô Giá Na,<br>
Như Lai Tạng Thân Tam muội!<br>
Phổ nhập nhất thiết Phật bình đẳng tánh;<br>
Năng ư Pháp Giới, thị chúng ảnh tượng<br>
Quảng đại vô ngại, đồng ư hư không; <br>
Pháp Giới hải triền, mỹ bất tùy nhập<br>
Xuất sinh nhất thiết, chư tam muội pháp; <br>
Phổ năng bao nạp, thập phương Pháp Giới<br>
Tam thế chư Phật, trí quang minh hải, giai tùng thử sinh.<br>
Thập phương sở hữu, chư an lập hải, tất năng thị hiện.<br>
Hàm tàng nhất thiết Phật lực, giải thoát, chư Bồ Tát trí;<br>
Năng linh nhất thiết, quốc độ, vi trần;<br>
Phổ năng dung thọ, vô biên Pháp Giới.<br>
Thành tựu nhất thiết, Phật công đức hải;<br>
Hiển thị Như Lai, chư đại nguyện hải;<br>
Nhất thiết chư Phật, sở hữu pháp luân;<br>
Lưu thông hộ trì, sử vô đoạn tuyệt.",,,,,,,,,,,,,,,,,,,,,
1.5,1,5,0,0,2,01.05.00.00,        1.5 - Hải Ấn Tam Muội,A014,A,A,1,,,,,,,,,,,,,,,,,,,,,,,KL,,,,,,,,,,Hải Ấn Tam Muội,,,"Hoặc hữu sát độ vô hữu Phật, <br>
Ư bỉ thị hiện thành Chánh Giác. <br>
Hoặc hữu quốc độ bất tri Pháp, <br>
Ư bỉ vì thuyết diệu pháp tạng. <br>
Vô hữu phân biệt, vô công dụng  <br>
Ư nhất niệm khoảnh biến thập phương, <br>
Như nguyệt quang ảnh mĩ bất châu <br>
Vô lượng phương tiện hóa quần sanh. <br>
Ư bỉ thập phương thế giới trung,  <br>
Niệm niệm thị hiện thành Phật đạo. <br>
Chuyển chánh Pháp luân nhập tịch diệt, <br>
Nãi chí xá lợi quảng phân bố. <br>
Hoặc hiện Thanh văn Độc giác đạo, <br>
Hoặc hiện thành Phật phổ trang nghiêm, <br>
Như thị khai xiển tam thừa giáo, <br>
Quảng độ chúng sanh vô lượng kiếp. <br>
Hoặc hiện đồng nam đồng nữ hình,  <br>
Thiên Long cập dĩ A-tu-la, <br>
Nãi chí Ma hầu la già đẳng, <br>
Tùy kỳ sở lạc tất linh kiến. <br>
Chúng sanh hình tướng các bất đồng, <br>
Hành nghiệp âm thanh diệc vô lượng. <br>
Như thị nhất thiết giai năng hiện <br>
Hải ấn tam muội oai thần lực. ",,,,,,,,,,,,,,,,,,,,,
2,2,0,0,0,1,02.00.00.00,    2 - KIẾT GIỚI,,,,,,,,,,,,6,,,,,,,,,,,,,,,KG,BA - ḌA,Nhật Quang - Nguyệt Quang,,,,𑖤-𑖚,,Sunlight - Moonlight,,KIẾT GIỚI,,,,"Nam Mô Bô Tô Chu Nô Mi, <br>
Nam Mô Đa Mô Mô Hơ Đi, <br>
Nam Mô Shăng Chê Đô Dê Ni, <br>
Đi Li Bu Bi San Đô Dê Nam Mô.","Shen Đi Đi... Tu Shu Cha<br>
Ơ Rơ Mi Đi... Wu Đu Cha<br>
Shen Chi Cha... Bô La Đi<br>
Dê Mi Rơ Cha... Wu Đu Cha<br>
Chư Lô Đi Cha... Chi Mô Cha<br>
Sô Pô Hô",,,,,Create the Protective Bubble Ego,,,"𑖤<br><br>
Nam Mo Bo To Ju No Mi, <br>
Nam Mo Da Mo Mo Ho Di, <br>
Nam Mo Seng Chye Do Ye Ni, <br>
Di Li Bu Bi Sa Do Yen Na Mo.","𑖚<br><br>
Shen Di Di---Tu Shu Ja, <br>
E Re Mi Di---Wu Du Ja, <br>
Shen Chi Ja---Bo La Di, <br>
Ye Mi Re Ja---Wu Du Ja, <br>
Jyu Lo Di Ja---Chi Mo Ja, <br>
So Po Ho",,,,https://drive.google.com/file/d/1HhKGBq4Y0qDAe5JtVZQj-ieDro4XGKmx/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1HhKGBq4Y0qDAe5JtVZQj-ieDro4XGKmx,https://drive.google.com/file/d/1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1utpVoXHKa6jliscMgvNXNYzmFSOoTWyW,,,
2.1,2,1,0,0,2,02.01.00.00,        2.1 - Kiết Giới Trước Sau,A015,K,A,1,,,,,,A05,A05,7,A05,,A05,,,,,,,,,,,D1,KG,,,,,,,,,,Kiết Giới Trước Sau,Thanh Tịnh Nghiệp Chướng,"Kiết Giới từ phía trước ra phía sau, để thanh tịnh tất cả nghiệp chướng, từ tương lai về lại quá khứ",,"Nam Mô Bô Tô Chu Nô Mi, <br>
Nam Mô Đa Mô Mô Hơ Đi, <br>
Nam Mô Shăng Chê Đô Dê Ni, <br>
Đi Li Bu Bi San Đô Dê Nam Mô.","Shen Đi Đi... Tu Shu Cha<br>
Ơ Rơ Mi Đi... Wu Đu Cha<br>
Shen Chi Cha... Bô La Đi<br>
Dê Mi Rơ Cha... Wu Đu Cha<br>
Chư Lô Đi Cha... Chi Mô Cha<br>
Sô Pô Hô",,,,,Front & Back,,"1. Front, Back
",,,,,,,,,,,,
2.2,2,2,0,0,2,02.02.00.00,        2.2 - Kiết Giới Trên Dưới,A016,K,A,2,,,,,,A06,A06,8,A06,,A06,,,,,,,,,,,D2,KG,,,,,,,,,,Kiết Giới Trên Dưới,Thanh Tịnh Các Tầng Tâm Thức,"Kiết Giới từ phía trên xuống phía dưới, để thanh tịnh tất cả các tầng tâm thức, từ siêu trí thức xuống đến tiềm thức.",,"Nam Mô Bô Tô Chu Nô Mi, <br>
Nam Mô Đa Mô Mô Hơ Đi, <br>
Nam Mô Shăng Chê Đô Dê Ni, <br>
Đi Li Bu Bi San Đô Dê Nam Mô.","Shen Đi Đi... Tu Shu Cha<br>
Ơ Rơ Mi Đi... Wu Đu Cha<br>
Shen Chi Cha... Bô La Đi<br>
Dê Mi Rơ Cha... Wu Đu Cha<br>
Chư Lô Đi Cha... Chi Mô Cha<br>
Sô Pô Hô","Kết Nối 4 Điểm trên và <br>
Quán Tưởng Bong Bóng Bản Ngã",,,,Above & Below,,"2. Above, Below",,,Tie Up the Boundary and Create The Bubble Ego,,,,,,,,,
